ID,Condition,Shape,CShape,Round,Vagueness,Size,Type,Inches,RoundSource,Diameter,TypeOfSize,Comments
R_3pbbQEiAxdVGOd5,HighCurl,circle,no,yes,no,sixze of bottom of coke can,source,NA,round,no,NA,none
R_2VP96hjgLNWKIIU,LowCurl,a letter e,no,yes,no,medium,dimension_word,NA,no,no,medium,it looked like the letter e
R_2qkkbAp81rYnANH,HighCurl,a hand in the shape of a c,yes,yes,no,5 inches,number,5,no,no,NA,I have trouble estimating sizes  so the numbers might be off a bit.
R_25yVqi93EH8T19s,LowCurl,round with a handle,no,yes,no,about hand sized,hand_sized,NA,no,no,NA,It's a cup
R_2zq15yDEhMyg7aW,HighCurl,round,no,yes,no,"about an inch and half, no more than 2 inches",number,1.5,no,no,NA,The object was held between the thumb and the forefinger. It seemed pretty small and not especially heavy. Possibly delicate or fragile.
R_3G7Z1VbsNnWWLxQ,HighCurl,c shape like the letter,yes,yes,no,mid sized not fully extended fingers,dimension_word,NA,no,no,NA,N/A
R_Rsj9AzEwduYS0nL,HighCurl,"semicircular, like a backwards c",yes,yes,no,it was medium sized,dimension_word,NA,no,no,medium,No additional comments
R_1gwHRLA4XgeGPTI,LowCurl,rounded like a cup,yes,yes,no,6 inches diameter,number,6,no,yes,NA,IT WAS CLEARLY A CUP
R_wY99Osu0BDv7s7n,HighCurl,the shape was like an o or a c,yes,yes,no,the size was maybe like that of a cap on something like honey or sort of like the size of a big bolt,source,NA,no,no,NA,"I forgot to say, the gesture is kind of like the ""ok"" sign."
R_1JWyOGNkMr3Hdhq,HighCurl,it was the shape of the letter c,no,yes,no,it was approximately 4 inches in diameter,number,4,no,yes,NA,The hand seemed to be forming the letter C or perhaps a symbol in sign language
R_2vZzlTn3cOGrW6B,LowCurl,circle,no,yes,no,medium,dimension_word,NA,no,no,medium,"none, thanks"
R_3OpiMtkKvlF5xAo,LowCurl,circular or rounded,no,yes,no,about the size of a human's palm,hand_sized,NA,no,no,NA,No comments
R_3L1PZ8l4eJ3gow2,HighCurl,it had a cylindrical shape that was hollow,no,yes,no,a little of two inches in length and one in width,number,1.5,no,no,NA,thanks
R_2Wx3vhwEJreh1BC,LowCurl,it was spherical,no,yes,no,it was small to medium,dimension_word,NA,no,no,small_to_medium,"It looks at first as though someone is throwing a baseball, although the hand position is hard to duplicate."
R_30v3wHuqamVhBB6,HighCurl,cylindrical because that was the shape of the hand,no,yes,no,a few inches because that was how far apart the thumb and index fingers were,number,NA,no,no,NA,"I also thought that it could be in the shape of the letter ""C"" due to the shape of the hand and from personal experience when spelling words out to people using my hand."
R_1rGPZfAFq8DLUU0,HighCurl,the shape was a cirlce,no,yes,no,about 3 inches in diameter ,number,3,no,yes,NA,none
R_1rNYnkBogDVtbxQ,HighCurl,circle,no,yes,no,the size of a soda can,source,NA,round,no,NA,I have no comments
R_puFpro7OR8kFJXr,LowCurl,it was shaped like the letter c or a half circle,yes,yes,no,the size was small,dimension_word,NA,no,no,small,I can do the C shape but I can't seem to lift my middle finger up the way the picture had it.
R_1hYeyzseedh2MUf,HighCurl,shaped like a small pill-bottle shaped capsule,no,other,no,"small, maybe two or three inches tall",dimension_word; number,NA,no,no,small,none
R_2wBwzpRaNWhrpCA,LowCurl,a backwards c,yes,yes,no,the object was smaller then original size,NA,NA,no,no,small,Thank you!
R_BsxuuBXbuLKJrON,LowCurl,frog,no,other,no,baseball,source,NA,round,no,NA,none
