Condition,CShapeArea,FingerArea,Diff
OnIndex-Bottom_0008,36.89,18.3,18.59
OnIndex-Bottom_0017,36.89,17.04,19.85
OnIndex-Bottom_0026,36.89,14.52,22.37
OnIndex-Bottom_0035,36.89,11.25,25.64
OnIndex-Bottom_0044,36.89,7.82,29.07
OnIndex-Bottom_0053,36.89,4.87,32.02
OnIndex-Bottom_0062,36.89,2.4,34.49
OnIndex-Bottom_0071,36.89,1,35.89
OnIndex-Bottom_0080,36.89,0.05,36.84
OnIndex-Middle_0008,39.11,15.34,23.77
OnIndex-Middle_0017,39.11,13.27,25.84
OnIndex-Middle_0026,39.11,10.08,29.03
OnIndex-Middle_0035,39.11,6.53,32.58
OnIndex-Middle_0044,39.11,3.74,35.37
OnIndex-Middle_0053,39.11,1.6,37.51
OnIndex-Middle_0062,39.11,0.24,38.87
OnIndex-Middle_0071,39.11,0,39.11
OnIndex-Middle_0080,39.11,0,39.11
OnIndex-Top_0008,39.31,12.46,26.85
OnIndex-Top_0017,39.31,10.08,29.23
OnIndex-Top_0026,39.31,6.38,32.93
OnIndex-Top_0035,39.31,3.05,36.26
OnIndex-Top_0044,39.31,0.88,38.43
OnIndex-Top_0053,39.31,0.05,39.26
OnIndex-Top_0062,39.31,0,39.31
OnIndex-Top_0071,39.31,0,39.31
OnIndex-Top_0080,39.31,0,39.31
OnPinkie-Bottom_0008,32.05,9.4,22.65
OnPinkie-Bottom_0017,32.05,7.87,24.18
OnPinkie-Bottom_0026,32.05,6.12,25.93
OnPinkie-Bottom_0035,32.05,3.32,28.73
OnPinkie-Bottom_0044,32.05,0.92,31.13
OnPinkie-Bottom_0053,32.05,0,32.05
OnPinkie-Bottom_0062,32.05,0,32.05
OnPinkie-Bottom_0071,32.05,0,32.05
OnPinkie-Bottom_0080,32.05,0,32.05
OnPinkie-Middle_0008,34.98,12.98,22.14
OnPinkie-Middle_0017,34.98,12.29,22.69
OnPinkie-Middle_0026,34.98,10.62,24.36
OnPinkie-Middle_0035,34.98,7.42,27.56
OnPinkie-Middle_0044,34.98,3.89,31.09
OnPinkie-Middle_0053,34.98,1.21,33.77
OnPinkie-Middle_0062,34.98,0.02,34.96
OnPinkie-Middle_0071,34.98,0,34.98
OnPinkie-Middle_0080,34.98,0,34.98
OnPinkie-Top_0008,30.89,11.81,19.08
OnPinkie-Top_0017,30.89,12.82,18.07
OnPinkie-Top_0026,30.89,11.93,18.96
OnPinkie-Top_0035,30.89,10.95,19.94
OnPinkie-Top_0044,30.89,7.46,23.43
OnPinkie-Top_0053,30.89,3.92,26.97
OnPinkie-Top_0062,30.89,1.41,29.48
OnPinkie-Top_0071,30.89,0.02,30.87
OnPinkie-Top_0080,30.89,0,30.89
